Iteration,Heuristic Value,Restarted,Inner Iteration,Time
301,20,8,14,1868.0000
302,21,8,15,1873.0000
303,22,8,16,1879.0000
304,23,8,17,1884.0000
305,24,8,18,1885.0000
306,25,8,19,1897.0000
307,26,8,20,1904.0000
308,27,8,21,1904.0000
309,28,8,22,1914.0000
310,29,8,23,1923.0000
311,30,8,24,1929.0000
312,32,8,25,1935.0000
313,33,8,26,1941.0000
314,34,8,27,1949.0000
315,35,8,28,1956.0000
316,36,8,29,1962.0000
317,37,8,30,1965.0000
318,38,8,31,1973.0000
319,38,8,32,1973.0000
320,3,9,1,1983.0000
321,5,9,2,1993.0000
322,7,9,3,1993.0000
323,9,9,4,2008.0000
324,10,9,5,2014.0000
325,11,9,6,2020.0000
326,12,9,7,2026.0000
327,14,9,8,2033.0000
328,15,9,9,2037.0000
329,16,9,10,2044.0000
330,17,9,11,2048.0000
331,18,9,12,2056.0000
332,19,9,13,2063.0000
333,20,9,14,2068.0000
334,22,9,15,2073.0000
335,23,9,16,2080.0000
336,24,9,17,2083.0000
337,25,9,18,2093.0000
338,26,9,19,2098.0000
339,27,9,20,2105.0000
340,28,9,21,2113.0000
341,29,9,22,2117.0000
342,30,9,23,2123.0000
343,31,9,24,2132.0000
344,32,9,25,2133.0000
345,33,9,26,2144.0000
346,35,9,27,2145.0000
347,36,9,28,2156.0000
348,37,9,29,2163.0000
349,38,9,30,2165.0000
350,39,9,31,2175.0000
351,40,9,32,2175.0000
352,41,9,33,2188.0000
353,42,9,34,2193.0000
354,43,9,35,2200.0000
355,44,9,36,2207.0000
356,45,9,37,2213.0000
357,45,9,38,2218.0000
358,2,10,1,2226.0000
359,4,10,2,2234.0000
360,6,10,3,2234.0000
361,8,10,4,2248.0000
362,10,10,5,2253.0000
363,12,10,6,2259.0000
364,13,10,7,2263.0000
365,14,10,8,2268.0000
366,15,10,9,2273.0000
367,16,10,10,2282.0000
368,17,10,11,2283.0000
369,18,10,12,2293.0000
370,20,10,13,2300.0000
371,21,10,14,2303.0000
372,22,10,15,2311.0000
373,23,10,16,2313.0000
374,24,10,17,2323.0000
375,25,10,18,2328.0000
376,26,10,19,2335.0000
377,27,10,20,2335.0000
378,28,10,21,2347.0000
379,29,10,22,2353.0000
380,30,10,23,2359.0000
381,31,10,24,2363.0000
382,32,10,25,2373.0000
383,33,10,26,2373.0000
384,34,10,27,2386.0000
385,35,10,28,2386.0000
386,36,10,29,2396.0000
387,37,10,30,2403.0000
388,38,10,31,2411.0000
389,39,10,32,2417.0000
390,39,10,33,2424.0000
391,40,10,34,2426.0000
392,41,10,35,2437.0000
393,42,10,36,2437.0000
394,42,10,37,2449.0000
395,42,10,38,2455.0000
396,4,11,1,2455.0000
397,6,11,2,2468.0000
398,8,11,3,2475.0000
399,10,11,4,2475.0000
400,12,11,5,2486.0000
401,13,11,6,2487.0000
402,14,11,7,2497.0000
403,15,11,8,2498.0000
404,16,11,9,2507.0000
405,17,11,10,2513.0000
406,18,11,11,2517.0000
407,19,11,12,2523.0000
408,20,11,13,2529.0000
409,22,11,14,2533.0000
410,23,11,15,2541.0000
411,24,11,16,2543.0000
412,25,11,17,2553.0000
413,26,11,18,2558.0000
414,27,11,19,2565.0000
415,28,11,20,2570.0000
416,29,11,21,2573.0000
417,30,11,22,2583.0000
418,31,11,23,2590.0000
419,32,11,24,2593.0000
420,33,11,25,2602.0000
421,34,11,26,2604.0000
422,34,11,27,2614.0000
423,35,11,28,2614.0000
424,36,11,29,2626.0000
425,37,11,30,2632.0000
426,38,11,31,2638.0000
427,39,11,32,2644.0000
428,39,11,33,2645.0000
429,2,12,1,2657.0000
430,4,12,2,2663.0000
431,6,12,3,2671.0000
432,8,12,4,2673.0000
433,10,12,5,2682.0000
434,11,12,6,2683.0000
435,13,12,7,2693.0000
436,14,12,8,2698.0000
437,15,12,9,2704.0000
438,16,12,10,2705.0000
439,17,12,11,2715.0000
440,18,12,12,2715.0000
441,19,12,13,2726.0000
442,20,12,14,2727.0000
443,21,12,15,2739.0000
444,22,12,16,2743.0000
445,23,12,17,2750.0000
446,24,12,18,2753.0000
447,25,12,19,2760.0000
448,26,12,20,2763.0000
449,27,12,21,2773.0000
450,28,12,22,2774.0000
451,29,12,23,2786.0000
452,30,12,24,2786.0000
453,31,12,25,2796.0000
454,32,12,26,2803.0000
455,33,12,27,2809.0000
456,34,12,28,2814.0000
457,35,12,29,2821.0000
458,36,12,30,2823.0000
459,37,12,31,2833.0000
460,38,12,32,2833.0000
461,39,12,33,2845.0000
462,40,12,34,2845.0000
